restaurantName,cuisine,userName,userEmail,role,rating,comment
Champlin Inc,Ukrainian,Raul.White49,Jacquelyn_Harris51@hotmail.com,VISITOR,5,Agnosco tabgo arguo absum ara.
Cronin - Kuhlman,Ukrainian,Thalia.Waters62,Laura.Bednar@gmail.com,VISITOR,3,Animi vere approbo delicate ars alo.
Kihn Friesen and Kassulke,Asian,Renee9,Isadore.Schultz@gmail.com,VISITOR,5,Curso cuppedia occaecati.
Herman - Roob,Asian,Arnaldo33,Wayne.Feeney@gmail.com,VISITOR,4,Ustulo sub patruus vulnero.
Osinski Group,Ukrainian,Randal_Weissnat29,Philip_Hansen6@hotmail.com,ADMIN,2,Ante tabella socius pauper vos sunt tollo sequi alioqui.
Veum Monahan and Hackett,Asian,Eugene.Gibson84,Kariane.Cassin15@yahoo.com,ADMIN,1,Terror ab unde accusamus.
Kuphal Kuhic and Franecki,Italian,Gilberto_Heller69,Lucious83@gmail.com,OWNER,3,Carmen solvo substantia utroque theologus nulla commodi arguo cavus.
Kulas Group,Ukrainian,Maxwell.Harris,Sean_Green28@gmail.com,ADMIN,3,Reprehenderit aro depereo trans corpus suppellex turba solio voluptas pecto.
Schroeder - Schinner,Asian,Reba.Block5,Cora_Hahn45@yahoo.com,VISITOR,1,Vomica cito corona utrum.
Bruen - Beahan,Ukrainian,Carla41,Roxanne.Auer97@hotmail.com,VISITOR,4,Aeger adsum subnecto peccatus assumenda acsi cruentus alter aegrus quo.
Wiegand Lowe and Steuber,Italian,Jonathon_Ebert,Conor85@hotmail.com,ADMIN,1,Teres odit ullam cursim tantum crudelis tempus.
Steuber - Marquardt,Italian,Edith2,Karl72@gmail.com,ADMIN,5,Tabgo nam ager vilitas angulus vir amaritudo comedo.
Becker and Sons,Ukrainian,Kenyon.Aufderhar-Hyatt,Al.Hermiston@yahoo.com,ADMIN,4,Argentum ventus curia.
Gutmann Grady and Frami,Asian,Kendra_Ankunding,Margarita.Olson@hotmail.com,OWNER,3,Subito solutio aegrotatio deludo sursum armarium casus.
Denesik Mills and Dickens,Ukrainian,Gardner79,Odessa.Feil@yahoo.com,VISITOR,3,Bibo chirographum tabella ultio odio.
Koch LLC,Ukrainian,Verdie.Schinner79,Josephine77@yahoo.com,VISITOR,2,Eaque amitto a capitulus voluptatibus tertius vobis.
Osinski - White,Italian,Hattie.Abernathy,Victor_Hilpert30@gmail.com,ADMIN,1,Cras cibus pauper.
Sauer Roberts and Cartwright,Italian,Michele.Gerhold,Abbey.Barrows@yahoo.com,ADMIN,3,Recusandae distinctio temeritas comparo amet sponte vestigium super temperantia.
Greenholt and Sons,Italian,Lucille35,Don2@gmail.com,OWNER,4,Supplanto iure tergeo illo ademptio fugit angustus.
Greenfelder - Huels,Asian,Earl_Wolff,Paris.Altenwerth11@gmail.com,OWNER,3,Demo tracto coniecto tego.
Shields LLC,Italian,Ezequiel_Lemke30,Sherry89@yahoo.com,OWNER,1,Itaque tredecim pauper turba conor.
Bauch - Bechtelar,Italian,Dasia.Franecki65,Annie_Cartwright@gmail.com,ADMIN,4,Cervus similique provident alo bestia taceo ulciscor.
Ullrich Leuschke and Bogan,Asian,Becky_Lueilwitz7,Hector.Crooks70@hotmail.com,VISITOR,3,Venia cui defendo civis pecco.
Miller - Pacocha,Asian,Maurice78,Brett_Veum57@hotmail.com,OWNER,3,Tamen verecundia solitudo iusto suadeo valeo victoria.
Carroll Aufderhar and Klocko,Asian,Harold19,Matteo.Kulas3@yahoo.com,OWNER,5,Depereo curis videlicet stillicidium totidem animi carcer colligo.
Smith LLC,Asian,Roy_Cremin,Jerome.Zemlak81@gmail.com,VISITOR,3,Absconditus claudeo vobis.
Breitenberg Okuneva and Toy,Italian,Margie.Cole57,Francis52@hotmail.com,ADMIN,4,Illum accusamus dolores charisma dedecor.
Corwin Inc,Italian,Chris_Rogahn,Julio.Lockman54@gmail.com,ADMIN,4,Tendo ademptio adeptio caelum ipsam torqueo aperte.
Senger LLC,Italian,Athena.Sawayn,Kent_Kovacek51@yahoo.com,ADMIN,3,Valde adeo uter denique denuncio auctus creta.
Cole Toy and Nikolaus,Asian,Sheila_Ankunding,Braxton_Von74@gmail.com,OWNER,2,Cariosus sunt natus cito civis cavus thermae stips nesciunt varietas.
Stanton Bogisich and Sanford,Italian,Warren_Stracke,Nathanial7@yahoo.com,OWNER,3,Cursus denego recusandae torqueo deludo avaritia combibo volva.
Nikolaus Group,Ukrainian,Rhonda.Vandervort,Shelly73@gmail.com,VISITOR,4,Viridis utroque arma speciosus odit demulceo.
Pagac Lehner and Schmidt,Italian,Dana.Gottlieb,Reyna95@hotmail.com,ADMIN,4,Laudantium aufero defero rerum cattus.
McGlynn - Kris,Asian,Beth_Connelly,Adonis.Wunsch@hotmail.com,OWNER,1,Canto voco cognatus sublime soluta viduo.
Treutel Shanahan and Hills,Asian,Erna_Dare,Jadyn_Keebler@gmail.com,ADMIN,1,Certus curia depulso.
Quitzon Group,Ukrainian,Margaret.Bogisich53,Jackie_Hackett@hotmail.com,VISITOR,5,Hic praesentium suffoco surculus.
Cole - Schaefer,Italian,Jairo.Monahan79,Bernard_Stanton@gmail.com,ADMIN,5,Valetudo caecus cupiditas theca adulatio templum pecco cedo valens.
Hessel Shanahan and Weimann,Ukrainian,Soledad97,Blake.Ritchie16@hotmail.com,ADMIN,4,Verus talus utroque acerbitas caterva explicabo adeptio victus curto.
Blick - Gerlach,Asian,Tillman_Corkery,Hilario.Morissette@hotmail.com,ADMIN,3,Thesaurus catena carus bellicus tersus odit sono brevis cultura.
O'Connell O'Reilly and Cormier,Asian,Ed98,Verla_Funk30@yahoo.com,OWNER,1,Caterva decens allatus cotidie quibusdam suffragium videlicet.
Koss Group,Italian,Steve_Maggio,Carroll34@gmail.com,OWNER,3,Tandem aduro suadeo audeo venia surculus clarus.
Torp - Becker,Italian,Samson28,Jaqueline_Bahringer@yahoo.com,VISITOR,5,Accendo speciosus colligo thorax ventito velit viridis substantia.
Harvey Osinski and Toy,Italian,Winifred.Gulgowski46,Julio_Stokes6@yahoo.com,ADMIN,1,Cinis vorax adnuo asperiores earum.
Barrows - Hamill,Ukrainian,Raquel28,Furman.Johnson-Swaniawski@gmail.com,ADMIN,3,Curo urbs abundans inventore avaritia summopere stips considero accusantium vix.
Crooks LLC,Ukrainian,Eriberto.Lang81,Brennon.Hills12@yahoo.com,ADMIN,1,Sum cilicium spectaculum vilicus amet tredecim expedita causa testimonium cura.
Kutch Group,Asian,Ruben.Daugherty,Caterina_Ziemann@gmail.com,VISITOR,4,Denique villa soluta sperno angelus aveho nemo correptius arto eaque.
Rempel Group,Ukrainian,Sean18,Sally_Mayert@yahoo.com,VISITOR,2,Carbo abstergo adfectus abbas accedo coruscus cupio vivo.
Hyatt - Keeling,Ukrainian,Dallas17,Robin6@gmail.com,ADMIN,1,Cuppedia aperio at error velit absum tripudio cavus.
Bednar - Hirthe,Asian,Edwin.Jakubowski,Kelli82@yahoo.com,OWNER,3,Dicta timor vulticulus colo suggero soluta circumvenio demonstro incidunt copia.
Predovic Pacocha and Ruecker,Ukrainian,Nina98,Maurice.Klein@yahoo.com,VISITOR,4,Defungo delicate condico.
Gibson Schneider and Price,Ukrainian,Name82,Rolando20@yahoo.com,ADMIN,2,Alias casus cupiditas.
Ankunding - Mayer,Ukrainian,Kathryne.McKenzie52,Torrance87@hotmail.com,VISITOR,5,Universe ubi cena.
Grimes - Schroeder,Asian,Brandon69,Sammy72@hotmail.com,VISITOR,4,Uterque corporis at bellicus in.
Johnson - Bednar,Italian,Joan_Collins,Jannie.Mayer94@yahoo.com,ADMIN,5,Aperte utpote ustilo.
Ortiz Inc,Asian,Melvina_Bailey-Senger,Matthew_Koch@hotmail.com,VISITOR,1,Conduco viscus modi consuasor suffoco ago clementia crinis cavus.
Spinka Hudson and Waelchi,Italian,Blaise88,Cecil29@hotmail.com,VISITOR,1,Vereor talio sublime vivo ipsum curso admoneo cibus harum sufficio.
Mraz Wuckert and Gorczany,Ukrainian,Arianna_Kris,Melyna21@gmail.com,VISITOR,5,Vis desino eaque dens delectus amo accusamus triumphus.
Connelly and Sons,Ukrainian,Woodrow_Schmeler1,Elizabeth_Prosacco@hotmail.com,VISITOR,2,Calamitas tabesco vox carmen ager substantia voluptatem vulpes antiquus strues.
Murphy Schinner and Maggio,Italian,Mellie83,Thaddeus35@yahoo.com,ADMIN,4,Eos esse suggero sto theca tripudio.
Stiedemann Inc,Asian,Phil47,Waylon36@hotmail.com,ADMIN,5,Decimus bardus campana aveho trepide eveniet.
Durgan Blick and Treutel,Italian,Leland28,Jaime_Goodwin@gmail.com,VISITOR,4,Conservo angelus adstringo laudantium vomica comedo.
Renner LLC,Ukrainian,Cynthia_Jaskolski,Cristopher78@hotmail.com,ADMIN,4,Turbo aegrus depereo somniculosus arcesso.
Kozey - Ferry,Ukrainian,Gordon_Fadel47,Elisha63@yahoo.com,VISITOR,5,Ademptio vesica congregatio solio.
Oberbrunner Collier and Kirlin,Ukrainian,Haylee_Schiller,Ida25@hotmail.com,VISITOR,3,Amicitia tendo calcar.
Weimann - Bergnaum,Italian,Allan.Beatty,Brionna76@yahoo.com,ADMIN,4,Cur vehemens confero accusantium molestiae cultura.
DuBuque - Vandervort,Asian,Nellie.Marquardt14,Stacy43@gmail.com,OWNER,2,Socius deduco adstringo annus tantillus pecco calco hic.
Dickinson Jenkins and Brakus,Italian,Teri.Lynch40,Alfonso_Kozey@hotmail.com,OWNER,1,Vivo thalassinus solvo tolero deludo denuo aedificium adduco considero bene.
Parisian and Sons,Italian,Hattie_Wisoky2,Rufus_Klocko39@gmail.com,VISITOR,5,Aurum absconditus numquam modi valde curia molestiae delego.
Nienow Hartmann and Wyman,Asian,Brandy.Bergnaum4,Marcus69@gmail.com,VISITOR,5,Carmen veritatis id caelum iusto harum facilis.
Kulas Hackett and Block,Asian,Tatyana52,Johan21@gmail.com,OWNER,4,Cogo aetas adeptio verumtamen acervus cito harum cena conqueror cognomen.
Torp and Sons,Ukrainian,Leland_Schaefer31,Henri_Trantow52@hotmail.com,VISITOR,3,Cunctatio qui utique carcer ager cruentus.
Braun - Osinski,Italian,Heidi.Gerhold,Annetta_Raynor25@hotmail.com,VISITOR,4,Supplanto talis video stipes comitatus sublime.
Douglas - Weissnat,Italian,Stacey97,Margaret_Purdy11@hotmail.com,ADMIN,1,Denego socius cumque bibo provident terga.
Reilly Legros and Hilpert,Italian,Laurence_Koelpin,Violet.Purdy80@gmail.com,OWNER,3,Adamo ventus dedico virtus certus thalassinus iste caritas veritas.
